timestamp,tweet
7/2/2020 22:23,This is a shameful move. Now is the time for employers to have empathy for families juggling work and caregiving. It's long past time for President Trump to show some leadership so we can get this virus under control.https://twitter.com/AmandaBecker/status/1278388133487357952 …
7/2/2020 4:45,I’ll read my daily briefings.
7/2/2020 4:00,"Small businesses are the backbone of communities across our nation, and we need to do so much more to help them. Donald Trump may have forgotten about them — but I never will.pic.twitter.com/RDYKzt1Qc1"
7/1/2020 5:15,"On the final day of # PrideMonth, here’s my promise to you: If I have the honor of being elected, I will be the most pro-equality president in our nation’s history. LGBTQ+ rights are human rights — and we can't rest until everyone is treated with dignity and respect under the law."
6/30/2020 22:39,"Tune in as I deliver remarks on how President Trump failed to protect the American people, save our economy, and control the virus:https://www.pscp.tv/w/ccoXyjFvUEVMQkJiT2xyS2R8MU9kSnJXa0xBd1B4WAxnrlhpHD-uPOzVgsBXBZyqLckiW9nhhXZ4Yq2ubIwS …"
6/30/2020 2:09,Here’s my promise to you: I’ll appoint a director who will actually go after financial predators and protect consumers.https://twitter.com/NPR/status/1277615716955545601 …
6/29/2020 2:30,"51 years ago today, a movement was born on Christopher Street. As we remember the anniversary of the Stonewall Uprising and the brave individuals who changed our world forever, let's recommit to finishing the job and finally achieving full LGBTQ+ equality. # Pridepic.twitter.com/PzbGOMy0zx"
6/28/2020 5:12,"Children should be released from ICE detention with their parents immediately. This is pretty simple, and I can't believe I have to say it: Families belong together.https://www.nytimes.com/2020/06/26/us/immigrant-children-detention-centers.html …"
6/27/2020 6:39,Equal representation and participation matter. # DCStatehoodhttps://twitter.com/AP/status/1276590626356768768 …
6/26/2020 21:05,"Last week, President Trump claimed the virus would 'fade away.' Now, we're facing a record-high number of new cases, and it's surging across the country. Trump refuses to listen to the experts and take action — and we're all paying the price."
6/26/2020 5:00,Donald Trump is the worst possible person to lead us through a global pandemic.
6/25/2020 5:29,"This virus is not just going to disappear because you want it to, Mr. President. Listen to the experts. Take clear, concrete action. Do your job.https://twitter.com/peterbakernyt/status/1275790514219089920 …"
6/25/2020 4:00,"Tonight, @ DrBiden and I will be hosting 'A Community of Pride' to celebrate the 50th anniversary of the world's first Pride march. Join us, @ theebillyporter, @ jvn, @ catcora, and @ K_JeanPierre at 7:30 PM ET: https://joe.link/3fVTp5e pic.twitter.com/J3uKJ3Q6EF"
6/24/2020 4:06,Our planet cannot take four more years of Donald Trump.https://www.cbsnews.com/news/arctic-hottest-temperature-ever/ …
6/23/2020 6:35,"It's worth repeating that this weekend, President Trump admitted he directed his administration to slow down coronavirus testing in the middle of a global pandemic. He continues to prove just how unfit he is to lead our nation."
6/23/2020 2:00,"The strength of the LGBTQ+ community has always been rooted in the ability to find hope in spite of setbacks. If we stand together # UnitedByPride, we'll get through this — and emerge stronger.pic.twitter.com/nXPtQqQB98"
6/21/2020 3:52,Folks credit me for speaking out on marriage equality in 2012 — but I'm not the one who took a real risk. Countless others did the hard work and paid a price just for being themselves. Christian Cooper and I discussed the trailblazers who came before us and the work that remains:pic.twitter.com/bEPmsRgZDo
6/21/2020 2:54,Donald Trump is so eager to get back to his campaign rallies that he’s willing to put people at risk and violate CDC guidelines — as long as they sign a waiver promising not to hold his campaign liable. Unbelievable.
6/20/2020 20:54,"We're months into this pandemic and still don't have proper testing, PPE, or clear nationwide guidance. Instead, Donald Trump: - Pushes dangerous, disproven drugs - Stands in the way of the CDC - Refuses to wear a mask He is failing even the most basic test of leadership."
6/20/2020 4:35,Donald Trump’s failure to fight the coronavirus with the same energy and focus that he uses to troll his enemies on Twitter has cost us lives — and is putting hope for an economic recovery at risk.
6/19/2020 7:15,"Climate change is linked to increased pregnancy risks — and heartbreakingly, Black mothers are being hit the hardest. As President, I'll work every day to tackle the climate crisis head-on and root out injustice. Because they are intertwined.https://twitter.com/HirokoTabuchi/status/1273639654936530955 …"
6/19/2020 3:42,"Just like Donald Trump couldn’t wish COVID-19 away in March, and just like he couldn’t tweet it away in April — he can’t ignore it away in June.pic.twitter.com/nOBnrL4rWi"
6/18/2020 6:15,"Vice President Pence claimed success because COVID-19 deaths are “down to” fewer than 750 a day. That's more than 20,000 a month — and they're self-congratulating? Unbelievable. It may be good enough for President Trump, but it will never be acceptable if I am President.pic.twitter.com/9h08nxjC6k"
6/18/2020 5:51,I’m proud to stand with folks across the country participating in today’s # WorkersFirst Caravan. Senate Republicans need to pass the # HeroesAct now and take action to root out systemic racism.https://twitter.com/lizshuler/status/1273291081455730688 …
6/18/2020 2:36,"Donald Trump ignored the experts, downplayed the threat COVID-19 posed, and failed to take the action necessary to contain it — and now in many states, COVID cases are on the rise again. This president has failed to lead our nation.https://twitter.com/CNN/status/1273076925599186945 …"
6/17/2020 3:38,"We have the power to write the future we want for this country. One where health care is a right, we lead the world in the fight against climate change, we end our gun violence epidemic, and our government works for all — not just the powerful. Let’s do it together."
6/16/2020 20:47,"This virus won’t just go away because you want it to, Mr. President. It’s time for you to step up and do your job."
6/16/2020 6:45,LGBTQ+ rights are human rights. Period.
6/16/2020 1:30,"Donald Trump is not responsible for COVID-19, but he does bear full responsibility for his slow, uncoordinated, bungled response.https://www.washingtonpost.com/politics/biden-says-trumps-handling-of-the-coronavirus-pandemic-was-almost-criminal/2020/06/12/f0b11024-acef-11ea-a9d9-a81c1a491c52_story.html …"
6/15/2020 21:23,Today's decision is another step in our march toward equality for all. The Supreme Court has confirmed the simple but profoundly American idea that every human being should be treated with respect. But we're not done.https://medium.com/@JoeBiden/statement-by-vice-president-joe-biden-7e1a29f45d66 …
6/15/2020 5:31,"After reports of wealthy Trump donors getting millions in relief meant for small businesses, the administration is now refusing to disclose where the PPP money went. It's unacceptable. The American people deserve answers.https://www.usatoday.com/story/money/2020/06/13/mnuchin-ppp-small-business-loans-covid-19-aid/3182772001/ …"
6/14/2020 5:50,We need a president who will fight to further LGBTQ+ equality — not roll back the hard-won progress we've already made.
6/13/2020 22:36,We need a national ban on chokeholds. Now.
6/13/2020 6:42,"In light of Donald Trump's inhumane reversal of protections for transgender people, I want to share a conversation I had a few weeks ago. Adi deserves to be treated with the same respect and dignity as anyone else. Period.pic.twitter.com/nr1u0vOvog"
6/13/2020 1:50,"Four years ago today, 49 lives were cut short in an act of unspeakable terrorism at Pulse nightclub. As we remember those we lost — including so many in the LGBTQ+ and Hispanic communities — we have to double down on our efforts to # HonorThemWithAction.pic.twitter.com/TKaZ4M7IFF"
6/12/2020 21:00,"Donald Trump forgot about COVID-19, but COVID-19 didn’t forget about us. The President couldn’t wish away the virus in April, he couldn’t tweet it away in May, and he can’t ignore it away in June."
6/12/2020 1:12,"We have to ensure our economic reopening is safe and strong — and builds the foundation for an economy that works for everyone. Today, I'm releasing my plan to make that happen:https://joebiden.com/reopening/"
6/11/2020 23:08,"We have to make sure our economic reopening is safe, effective, and gets Americans back to work. Tune in for a roundtable discussion on how we can make that happen:https://www.pscp.tv/w/cbESEDFvUEVMQkJiT2xyS2R8MXlOR2FCck1tUWJKaomEQaM5-xvzg1b3XjojyC21SQuojwwMO40__eTSOpC1 …"
6/11/2020 22:16,"We have to make sure our economic reopening is safe, effective, and gets Americans back to work. Tune in for a roundtable discussion on how we can make that happen:https://www.pscp.tv/w/cbEF6zFvUEVMQkJiT2xyS2R8MURYR3lBZ1FRYkxHTaA5LdwZh32z7cr-vqfOsV50VG3T13kyfeiW0G56GELp …"
6/11/2020 5:00,"This pandemic isn't just going to go away because you want it to, Mr. President. Step up and do your job before your negligence costs even more lives than it already has.https://www.politico.com/news/2020/06/10/white-house-stops-talking-about-coronavirus-309993 …"
6/10/2020 20:12,"America was founded on the promise of equality, liberty, and justice for all. We’ve never fully lived up to that promise — and we can’t rest until we finally do."
6/10/2020 5:45,"Because of Donald Trump's negligence and incompetence: - More than 110,000 people have died - We have nearly 2 million cases of COVID-19 - Over 20 million Americans are out of work And yet he’s patting himself on the back. Unbelievable."
6/10/2020 5:00,Small businesses like Rafael's are the backbone of communities all across this nation. We have to do so much more to help them through this crisis.pic.twitter.com/msi1oZ6P24
6/9/2020 4:42,"At every turn, President Trump ignored the experts, downplayed the threat COVID-19 posed, and misled the American people — and we’re all paying the price every single day.https://www.vox.com/2020/6/8/21242003/trump-failed-coronavirus-response …"
6/9/2020 2:20,"We've made incredible progress on LGBTQ+ equality, but we still have further to go. We can't rest until everyone is treated with dignity and respect under the law—regardless of who they are or whom they love. Join # OutForBiden and let's get to work: https://joe.link/2MCGNDg pic.twitter.com/hHNVoCU2q5"
6/6/2020 3:25,"This # GunViolenceAwarenessDay, I am reflecting on the life of Hadiya Pendleton, whose murder inspired the # WearOrange movement. The hard truth is that Black Americans are ten times more likely to die by gun homicide. It has to stop."
